List (merge),Link,SteamID,Included when searching,Other keywords,Federico's vote,Linas' vote,Simone's vote,Federica's vote,Final decision,potential for decentering,Instructions:,,,,,,Federico's list
Paws,https://store.steampowered.com/app/434000/Paws/,434000,"Survival, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,Thrive
Planetka,https://store.steampowered.com/app/2878100/Planetka/,2878100,"Strategy, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,Timberborn
Preserve,https://store.steampowered.com/app/2109270/Preserve/,2109270,"Sandbox, Strategy",,Yes,yes,,Yes,Yes,,,,,,,,Woodland Empire
Quiet as a Stone,https://store.steampowered.com/app/872060/Quiet_as_a_Stone/,872060,Sandbox,,No,yes,no,No,No,,,,,,,,
Rabbit Meadow,https://store.steampowered.com/app/1837210/Rabbit_Meadow/,1837210,"Sandbox, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,
RainyCloud,https://store.steampowered.com/app/1343230/RainyCloud/,1343230,Sandbox,,No,no,,No,No,,,,,,,,
Regrowth,https://store.steampowered.com/app/1346210/Regrowth/,1346210,Strategy,,Yes,yes,,Yes,Yes,,,,,,,,
Reus,https://store.steampowered.com/app/222730/Reus/,222730,"Sandbox, Strategy",,No,yes,yes,Yes,Yes,,,,,,,,
Reus 2,https://store.steampowered.com/app/1875060/Reus_2/,1875060,"Sandbox, Strategy, Resource Management",,No,yes,yes,Yes,Yes,,,,,,,,
Sacabambaspis Chronicles,https://store.steampowered.com/app/2634610/Sacabambaspis_Chronicle/,2634610,Survival,,Yes,yes,,Yes,Yes,"As a player, you become Sacabambaspis and live each day with your fellow Sacabambaspis, growing and evolving ",,,,,,,
Shelter,https://store.steampowered.com/app/244710/Shelter/,244710,"Survival, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,
Shelter 2,https://store.steampowered.com/app/275100/Shelter_2/,275100,"Survival, Atmospheric",,Yes,yes,,Yes,Yes,,,,,,,,
Sipho,https://store.steampowered.com/app/809310/Sipho/,809310,Survival,,No,no,,No,No,,,,,,,,
Seedlings,https://store.steampowered.com/app/1575510/Seedlings/,1575510,Atmospheric,,Yes,yes,yes,No,Yes, Become a seed that can possess different plant creatures with unique abilities,,,,,,,
